Epoch,Average Cost,Accuracy
434,0.00703811,0.955617
435,0.00702915,0.955683
436,0.00702022,0.955733
437,0.00701131,0.9558
438,0.00700242,0.95585
439,0.00699354,0.9559
440,0.00698469,0.955983
441,0.00697587,0.956
442,0.00696706,0.956
443,0.00695827,0.9561
444,0.0069495,0.956133
445,0.00694076,0.956167
446,0.00693203,0.956233
447,0.00692333,0.956267
448,0.00691464,0.956333
449,0.00690597,0.956383
450,0.00689732,0.956483
451,0.00688869,0.95655
452,0.00688008,0.956633
453,0.00687151,0.95665
454,0.00686296,0.956683
455,0.00685443,0.956733
456,0.00684592,0.95675
457,0.00683743,0.95685
458,0.00682896,0.956933
459,0.0068205,0.957033
460,0.00681207,0.957067
461,0.00680364,0.9571
462,0.00679524,0.957133
463,0.00678686,0.957183
464,0.0067785,0.957267
465,0.00677017,0.957333
466,0.00676185,0.957383
467,0.00675354,0.957417
468,0.00674526,0.957433
469,0.00673702,0.957483
470,0.00672878,0.957533
471,0.00672057,0.957567
472,0.00671241,0.957683
473,0.00670424,0.957683
474,0.0066961,0.957683
475,0.00668798,0.957717
476,0.00667987,0.95775
477,0.00667178,0.957817
478,0.00666371,0.957883
479,0.00665565,0.9579
480,0.00664762,0.957967
481,0.0066396,0.958033
482,0.00663161,0.95805
483,0.00662361,0.95815
484,0.00661564,0.9582
485,0.00660769,0.958233
486,0.00659977,0.9583
487,0.00659186,0.958317
488,0.00658399,0.958367
489,0.00657614,0.958417
490,0.00656828,0.95845
491,0.00656046,0.958517
492,0.00655267,0.958583
493,0.00654487,0.95865
494,0.0065371,0.958667
495,0.00652936,0.9587
496,0.00652164,0.958783
497,0.00651394,0.9588
498,0.00650627,0.958867
499,0.00649861,0.958917
500,0.00649097,0.958917

mnist_test Results:
Average Cost: 0.00683636 | Accuracy: 0.956
